brand,model,price,productionYear,mileage,imageUrl,insuranceHistory,inspectionHistory,region,contactNumber,isFraud
kia,carnival,34260706,2021,39017,https://example.com/cars/2cd219d6-4a3d-4bad-ac92-96c5c87fee2d.jpg,0,3,Busan,010-6346-4426,0
bmw,7series,47851246,2018,24064,,3,0,Ulsan,010-3683-9415,0
genesis,g90,95788629,2023,8673,https://example.com/cars/39436a7f-ff8d-444e-a8cc-224c6fb25a6e.jpg,2,1,Gyeonggi,010-1633-5019,0
bmw,x6,69017325,2020,9123,https://example.com/cars/15231615-f44b-48d8-bbfd-43218f85a6da.jpg,3,1,Sejong,010-3979-4982,1
kia,k5,23608344,2024,5144,https://example.com/cars/aa0308b0-13d1-454d-b207-268bd64cef3f.jpg,5,0,Daegu,010-6617-8788,1
kia,k5,17704390,2021,39153,,0,4,Gwangju,010-4064-5941,0
genesis,g90,63191480,2022,17514,https://example.com/cars/d5211c86-668c-460f-9faf-db4e70715f09.jpg,0,3,Gyeonggi,010-2819-1737,0
hyundai,avante,17117717,2019,21807,,2,2,Sejong,010-9948-3683,0
kia,carnival,45629813,2022,13616,https://example.com/cars/cc8de511-7bd2-4199-ab4b-756972186c15.jpg,2,5,Busan,010-6445-3661,0
hyundai,grandeur,51710816,2019,45367,https://example.com/cars/4bf3e048-069a-4e85-99bc-4da76f170bc7.jpg,1,5,Incheon,010-8338-7831,1
hyundai,sonata,27980128,2023,8628,https://example.com/cars/7d817f2b-a492-4006-8706-1550854fe21f.jpg,7,0,Sejong,010-1734-1982,1
benz,amg gt,99000627,2021,38664,https://example.com/cars/7eb17d42-e7da-487c-8b7c-24e9a2d545aa.jpg,0,3,Incheon,010-7647-1793,0
bmw,7series,56975531,2020,9603,,2,3,Seoul,010-4579-2931,1
kia,sorento,64648294,2018,52864,,1,1,Seoul,010-1738-1524,1
benz,amg gt,91224743,2022,6833,https://example.com/cars/f54a067f-9eb1-41e8-ae5c-92d2822e839c.jpg,1,4,Incheon,010-8783-8813,0
genesis,g90,66300212,2024,0,https://example.com/cars/2bae3286-d332-4318-b2b2-d3502f92a03e.jpg,0,4,Gyeonggi,010-7438-5019,0
kia,carnival,15798342,2020,21227,,0,3,Incheon,010-6849-1524,1
bmw,7series,53946889,2021,22297,,2,5,Daejeon,010-8887-4213,0
kia,carnival,42473862,2020,35234,https://example.com/cars/ff68a828-6f66-42d9-affb-a6af2a98bb51.jpg,1,5,Daejeon,010-1223-7162,0
bmw,x6,156745254,2021,15569,https://example.com/cars/0db04325-cf32-48b8-8471-318fd26ebf7f.jpg,2,0,Sejong,010-2208-5168,1
genesis,g90,99505910,2019,30887,https://example.com/cars/5ea01a02-9fae-437a-8da8-a07c27386789.jpg,1,0,Daegu,010-9554-9404,0
genesis,g90,65269810,2022,14854,,5,1,Gwangju,010-7392-9164,1
audi,a5,27448691,2022,22784,https://example.com/cars/f0bd9c30-9704-49f8-bae6-053ff593d7fa.jpg,1,4,Gyeonggi,010-2807-9733,0
genesis,g90,88255559,2020,48512,https://example.com/cars/58c115f0-2ed5-43aa-a49d-44bf553c2cb3.jpg,5,3,Incheon,010-3204-9197,1
bmw,7series,46029277,2018,70780,https://example.com/cars/e296e0e9-473c-4e05-8fc2-a90c0e0a577c.jpg,1,5,Sejong,010-3886-7872,0
kia,sorento,37173630,2018,12216,https://example.com/cars/ee29b482-99ee-48a5-b57b-31197e9f7c5b.jpg,2,5,Gwangju,010-5484-2468,1
audi,a5,11305942,2021,32053,https://example.com/cars/80f6e52a-6adb-4ebe-bb6b-4dd0f24ddadb.jpg,3,1,Daejeon,010-7497-9613,1
audi,a8,67961943,2020,48339,https://example.com/cars/8150c04a-62c3-47ce-a83f-6a7f1e303bd5.jpg,0,4,Incheon,010-8009-6681,0
genesis,g90,93789156,2021,22156,https://example.com/cars/c9b4aa27-398a-4f17-86f9-5163a22ae260.jpg,3,4,Seoul,010-2120-7300,0
hyundai,sonata,25681768,2023,10301,https://example.com/cars/60f121f6-1616-4ec2-b95b-2d02af934bf6.jpg,3,2,Busan,010-9550-9506,0
genesis,gv70,63869569,2020,47046,,2,3,Seoul,010-3717-7561,0
bmw,7series,21379269,2018,44177,https://example.com/cars/10f10ced-5f5f-44b6-8ca4-89cac5f6bdfb.jpg,2,5,Gwangju,010-7507-2042,1
audi,a5,23401888,2021,27098,https://example.com/cars/e4e6d70d-0a04-43b7-b000-5489df2492ae.jpg,2,2,Gwangju,010-1892-7451,0
kia,sorento,38082259,2022,15995,https://example.com/cars/a0c8fc5f-9a8f-46de-9769-cfbfc24bac11.jpg,0,4,Sejong,010-7930-9988,0
hyundai,grandeur,29525846,2021,5372,https://example.com/cars/80817e1b-585b-4c73-8f9d-7cb275e25b03.jpg,3,2,Gwangju,010-9121-8103,1
hyundai,avante,24288642,2024,0,,1,4,Busan,010-4217-5872,1
genesis,g90,76266166,2020,8081,https://example.com/cars/488379cc-ab4c-4a22-a660-5584ef234442.jpg,1,3,Gwangju,010-5733-4491,1
kia,sorento,60342326,2018,17825,,0,1,Seoul,010-3225-9185,1
hyundai,santafe,29786211,2021,38701,https://example.com/cars/3ade1886-8013-4b39-a9d1-7f70f2272208.jpg,1,4,Ulsan,010-4948-2484,0
hyundai,santafe,42110714,2022,21947,https://example.com/cars/c6974a43-5271-4c92-8936-3c6ef89d763d.jpg,5,5,Seoul,010-2570-8669,1
genesis,gv70,51210163,2019,9103,https://example.com/cars/ca084e26-6210-40d8-9c82-2e1d03b3f199.jpg,2,0,Ulsan,010-9338-5452,1
kia,carnival,28663108,2022,14534,https://example.com/cars/d48050e2-9d92-4a4b-bd0d-ab3d8deb2590.jpg,1,5,Ulsan,010-6863-7460,0
kia,k5,23954359,2021,28545,https://example.com/cars/2711bd42-ccfd-433f-82cd-153d645c477f.jpg,1,4,Gyeonggi,010-2992-8336,0
bmw,x6,101450494,2024,4108,https://example.com/cars/86dab7c4-95aa-4c30-9601-ab2608d8de2a.jpg,2,5,Ulsan,010-6545-4821,0
genesis,gv70,54849893,2021,1977,https://example.com/cars/14d5c679-e8f7-4176-999c-3e4b07512d67.jpg,2,5,Gwangju,010-8298-7144,1
hyundai,sonata,30647782,2021,10353,https://example.com/cars/3683417b-16c4-4510-8826-72f16a5d89fa.jpg,1,4,Daegu,010-1686-1628,1
hyundai,avante,20452811,2020,23780,https://example.com/cars/f685cbae-d89b-4ee0-8015-0e7bbefe3a11.jpg,6,3,Gwangju,010-2215-8653,1
audi,a5,27407941,2024,3928,https://example.com/cars/6f0eaf07-ed1b-43a5-b61a-5c56eca9e5c0.jpg,2,4,Seoul,010-4214-8969,0
genesis,gv70,56456833,2018,27798,https://example.com/cars/041c2e93-98c6-4742-b0d7-c987918f3c33.jpg,2,1,Sejong,010-3516-5591,0
kia,sorento,30435272,2021,4631,https://example.com/cars/afcb707c-87df-46c0-b475-fc70f6b57772.jpg,1,1,Daegu,010-6381-4973,1
benz,s-class,65934965,2023,10486,https://example.com/cars/fea00a93-25cd-47bb-a4ba-4920ab551bcf.jpg,3,2,Gyeonggi,010-9166-1963,1
kia,carnival,41471791,2020,6523,https://example.com/cars/6417cc59-3214-4d27-a754-6fdad879ea24.jpg,0,3,Sejong,010-5618-4094,1
benz,amg gt,128373842,2020,40013,https://example.com/cars/2146377f-6b3d-4a89-abb6-05d4663a57ef.jpg,0,3,Gyeonggi,010-5840-7680,0
bmw,x6,108934966,2021,24133,,6,1,Gwangju,010-8727-4781,1
hyundai,avante,23676274,2022,9760,https://example.com/cars/0c37389d-b20d-413a-b44b-0618b41a9a64.jpg,6,4,Incheon,010-1787-1415,1
kia,sorento,28385195,2023,1811,https://example.com/cars/10f97f0c-fcb3-457b-b789-67e43658e1a1.jpg,2,2,Incheon,010-3645-4060,1
audi,a8,51994053,2018,36034,https://example.com/cars/4f4cfeca-32c0-4196-8942-95f452547bdd.jpg,3,1,Gyeonggi,010-8292-6315,0
audi,a5,27918584,2019,53521,https://example.com/cars/9f049e3f-f183-4a93-a12a-708f96f24e79.jpg,2,5,Gyeonggi,010-2912-1528,0
benz,s-class,95794809,2018,44931,https://example.com/cars/f328c368-ab09-4a61-acff-7cd4d39afa4b.jpg,1,0,Sejong,010-9883-5526,0
hyundai,avante,27398700,2023,145,https://example.com/cars/3a38d4da-46ff-4ecc-a25d-0ccd27b9efb3.jpg,1,5,Sejong,010-8749-8507,0
kia,sorento,36396442,2018,34105,https://example.com/cars/6967e1f0-8ca9-41a9-8d26-3d3cc3ee9deb.jpg,6,5,Daejeon,010-8692-2856,1
kia,k5,27636069,2022,11729,https://example.com/cars/57111223-5566-4dca-866c-272c91986172.jpg,0,0,Incheon,010-7056-1459,0
audi,a5,27889866,2020,19336,https://example.com/cars/5d97b2eb-7a24-4e7b-862d-ee50762bae53.jpg,3,3,Daegu,010-7359-7139,0
audi,a5,48593474,2023,9643,https://example.com/cars/51a20366-d1d7-4528-a013-8cec40a8e4dc.jpg,1,3,Incheon,010-3009-2082,1
kia,carnival,39797691,2024,1491,,0,0,Daejeon,010-4599-6091,0
kia,k5,18540239,2024,0,,1,4,Seoul,010-8190-2435,0
audi,a5,20118982,2022,22512,https://example.com/cars/a1ca1faf-7122-40bf-ac50-a0ff71654a8a.jpg,1,5,Busan,010-1935-6932,0
bmw,x6,86596211,2020,13959,https://example.com/cars/55886c15-8f8d-4816-abfe-3cfa115a2f1b.jpg,7,4,Gyeonggi,010-1290-2084,1
hyundai,santafe,37179427,2023,7453,https://example.com/cars/88ab0cee-7da5-4b6a-82dd-c93c1b5c5cb8.jpg,9,5,Incheon,010-9720-7632,1
bmw,x6,101910014,2018,23209,https://example.com/cars/4d7eaa41-5aca-429d-8a4d-0e18755912b6.jpg,3,2,Daegu,010-2878-2266,0
benz,amg gt,80491458,2020,49050,https://example.com/cars/d67ead59-6bce-45a1-9f68-ddfa29d05e33.jpg,1,3,Sejong,010-8897-8503,0
benz,s-class,41990611,2020,37168,,2,1,Busan,010-6102-3026,1
kia,k5,24575647,2021,23719,https://example.com/cars/bf0c748d-06b3-40f2-b14e-965932a60b37.jpg,1,4,Ulsan,010-4871-1368,0
kia,k5,10623398,2019,55959,,3,5,Ulsan,010-3313-5037,1
kia,carnival,24349254,2019,16462,,0,2,Busan,010-4717-9804,1
hyundai,grandeur,61258624,2019,43652,https://example.com/cars/67818ee1-6c27-4ac9-b5f0-df0e3d3da1e2.jpg,0,3,Incheon,010-7893-1310,1
hyundai,sonata,17065300,2022,11831,https://example.com/cars/1a2374ec-8cff-45f3-a211-f8de8c8bd733.jpg,0,3,Daejeon,010-5468-5683,0
kia,sorento,27770751,2024,854,https://example.com/cars/473d1504-badf-4b45-a3bd-24e7193bed7b.jpg,8,4,Busan,010-1035-8321,1
benz,amg gt,101979430,2023,4579,https://example.com/cars/accb72a4-9da1-456a-85ed-feaa5aee52b3.jpg,0,0,Gyeonggi,010-2567-7233,0
hyundai,avante,39448024,2023,6485,,3,5,Gwangju,010-5908-5261,1
hyundai,grandeur,30852464,2022,12262,https://example.com/cars/fe5964d8-3d39-4916-83ce-be113e54dd19.jpg,2,2,Busan,010-6407-2299,0
genesis,g90,75692244,2020,2872,https://example.com/cars/1ec969c1-abc4-41f2-80dc-45e8f4962bc6.jpg,1,3,Sejong,010-3394-5488,1
kia,sorento,33707630,2023,8425,https://example.com/cars/eb0450f4-079c-4354-a9f3-2597adb0e8ad.jpg,8,5,Daejeon,010-4337-8261,1
hyundai,santafe,41730139,2018,35777,https://example.com/cars/05e82aed-7be1-4424-9140-88a7e35aa94d.jpg,3,2,Seoul,010-7565-6772,0
hyundai,grandeur,20633731,2019,45863,https://example.com/cars/37580155-d6bf-4d93-9356-ea8a1f70770f.jpg,3,4,Daejeon,010-4538-3652,0
kia,sorento,36564546,2024,0,https://example.com/cars/494d11cb-5b7d-4af9-b323-0418b0c55180.jpg,0,2,Seoul,010-8861-6341,0
benz,amg gt,227270788,2019,46257,,0,5,Gwangju,010-6355-1766,1
bmw,x6,203171854,2018,48083,,1,0,Daejeon,010-4085-7644,1
hyundai,grandeur,18813564,2022,21867,,6,5,Daejeon,010-4626-9170,1
genesis,g90,92390947,2018,65117,https://example.com/cars/71d63966-e5a9-4af0-89ac-c2adc88ad460.jpg,2,2,Gwangju,010-2557-2003,0
bmw,7series,67017562,2024,3850,https://example.com/cars/de903999-8b44-4242-a139-c7911d77ea5b.jpg,1,2,Daegu,010-2547-8246,0
bmw,x6,77970333,2020,7030,https://example.com/cars/9ec0666a-4981-49f1-9548-7b8433875202.jpg,1,1,Incheon,010-2767-7050,1
kia,carnival,65819084,2024,1494,https://example.com/cars/f037436d-6630-4ebc-afe0-3557ca7ef2f4.jpg,2,4,Gwangju,010-7436-4070,1
kia,k5,27238206,2021,19412,https://example.com/cars/51616f34-21a3-4ebb-bd5f-fd0cfb214125.jpg,0,4,Daegu,010-9476-7838,0
bmw,x6,75328296,2023,10359,https://example.com/cars/22502a21-58f2-4162-b56b-456fe0bf49ec.jpg,0,2,Sejong,010-4117-4574,0
genesis,g90,99148884,2021,30042,https://example.com/cars/acbeab9c-c116-465d-8ee1-66028c70bf6d.jpg,2,0,Gyeonggi,010-9786-1378,0
benz,amg gt,41996986,2024,0,https://example.com/cars/747215bf-cf33-4483-a3b5-5798723e2238.jpg,3,0,Gyeonggi,010-3041-1451,1
benz,s-class,132832289,2022,3206,,2,4,Sejong,010-7998-2674,1
kia,sorento,43982377,2023,9336,https://example.com/cars/adb10d47-b034-4643-b8b5-197a08b7e5ea.jpg,1,3,Daegu,010-5589-4269,0
audi,a8,64729795,2024,0,https://example.com/cars/ccc18f08-fc93-4573-8ceb-59d46eb8c1b2.jpg,2,4,Seoul,010-4990-6414,0
benz,s-class,258622278,2021,33624,,1,5,Incheon,010-3455-2415,1
benz,s-class,117255036,2023,5875,https://example.com/cars/bda868d4-2742-45aa-9bfb-969318aeaf67.jpg,3,2,Incheon,010-8470-5538,0
genesis,gv70,56474175,2019,42260,https://example.com/cars/693f49cf-2bfa-4e2c-87ae-86583d1c5bad.jpg,1,5,Gwangju,010-5564-5553,0
genesis,gv70,123706348,2024,0,,0,2,Seoul,010-9945-9216,1
audi,a8,50401972,2021,18350,https://example.com/cars/eff11570-b5d3-467d-8158-1506ffeebde3.jpg,3,4,Incheon,010-7124-7855,0
kia,k5,15385567,2021,6954,https://example.com/cars/cd82882a-acf4-446e-b382-265f7df41789.jpg,3,5,Incheon,010-5752-5375,1
hyundai,sonata,18871237,2018,47462,,0,3,Sejong,010-8245-2621,0
hyundai,santafe,27580935,2018,55699,https://example.com/cars/e8e29b0f-c34b-4cec-9c29-847919650ab5.jpg,1,1,Incheon,010-6933-9231,0
hyundai,avante,42900276,2023,14299,,3,0,Daegu,010-3404-3525,1
bmw,7series,75666018,2021,4717,,1,3,Seoul,010-7594-8339,1
genesis,gv70,51437625,2023,10618,,7,1,Gyeonggi,010-5020-6434,1
bmw,7series,69321972,2021,17524,https://example.com/cars/8b0dddc0-132b-483a-ac3d-c5ee6a94dab9.jpg,0,3,Gyeonggi,010-1829-1124,0
bmw,x6,100475004,2023,5822,https://example.com/cars/05142fd8-147f-4190-b2cc-2ceb9f29c7a5.jpg,0,3,Seoul,010-2510-4198,0
kia,carnival,39632006,2020,15713,https://example.com/cars/809fed76-6791-439b-b719-f1f74e0c867c.jpg,0,4,Gwangju,010-1876-7623,0
kia,carnival,19866753,2024,0,https://example.com/cars/293f35af-a301-4ad3-af58-65168f96093b.jpg,2,0,Daegu,010-5444-2280,1
kia,k5,19510300,2022,1676,,1,1,Seoul,010-9204-9669,0
kia,sorento,36425363,2020,33544,https://example.com/cars/ea1b9859-fdbf-4a36-b4f1-3a96b1eab53f.jpg,6,3,Ulsan,010-5002-7658,1
kia,sorento,26453010,2018,39424,https://example.com/cars/a68a287a-3085-44c9-b631-3a124941ccb0.jpg,0,0,Sejong,010-4002-3371,0
kia,sorento,37769700,2020,36569,,0,0,Sejong,010-3800-4361,0
hyundai,sonata,22102381,2021,11408,https://example.com/cars/1fde7b89-3ca0-45ab-b8f9-386ee3498865.jpg,1,1,Daegu,010-7922-6956,0
bmw,7series,78557623,2018,8329,https://example.com/cars/ceac1630-f55b-487e-ba88-75e71a1716a8.jpg,0,2,Gwangju,010-7104-5902,1
benz,s-class,76019947,2018,28109,https://example.com/cars/fd3e187c-9126-44e9-912e-9e75ecef79de.jpg,3,2,Incheon,010-3688-3680,0
bmw,x6,83520107,2020,16999,https://example.com/cars/3afb799e-0375-4414-904d-5a0d324cd911.jpg,8,4,Incheon,010-5302-6254,1
hyundai,sonata,25602886,2024,0,https://example.com/cars/0b7a75e1-4948-4bc1-a2dc-7eeeafdfe879.jpg,2,5,Gwangju,010-2393-2028,0
hyundai,avante,9858544,2019,41654,https://example.com/cars/748161be-f0e6-4fdd-81b7-c4e754701456.jpg,0,2,Gyeonggi,010-6128-8047,1
benz,s-class,110320116,2021,28195,https://example.com/cars/4371d10a-76f7-4495-922c-4127de46050b.jpg,1,5,Ulsan,010-6983-8299,0
hyundai,sonata,39214452,2021,35776,,1,4,Sejong,010-6684-7334,1
audi,a5,34390092,2020,6723,https://example.com/cars/b57412fa-7991-49fe-bd89-b3f01014b537.jpg,1,0,Ulsan,010-2831-2335,1
hyundai,santafe,25985424,2019,11421,,0,0,Gyeonggi,010-7182-1819,1
benz,s-class,92051796,2024,0,https://example.com/cars/576f5275-42b2-45fd-861a-66bbe5188ee7.jpg,2,0,Daejeon,010-3967-4511,0
audi,a5,20393076,2024,0,,3,5,Incheon,010-1559-4665,1
hyundai,sonata,16443380,2018,69942,,0,5,Ulsan,010-5942-8084,0
hyundai,avante,22391108,2021,21463,https://example.com/cars/6f2474da-82d8-4e7c-8744-8ae0b132f7bc.jpg,3,5,Daejeon,010-3537-9043,0
bmw,x6,85291809,2022,12739,https://example.com/cars/fff780f0-70ba-4584-86fc-8cba2069d799.jpg,1,0,Daejeon,010-3087-2814,0
benz,s-class,88007448,2018,36245,,0,5,Gwangju,010-8373-5723,0
genesis,gv70,47541300,2018,33626,https://example.com/cars/bc536386-95b5-453a-b9f7-1353fdcf6d58.jpg,0,5,Sejong,010-4800-6717,0
kia,sorento,16105057,2022,16852,,3,5,Daejeon,010-3374-9653,1
genesis,g90,111832731,2022,1921,,2,4,Daegu,010-8485-5975,1
kia,carnival,17739412,2018,45372,https://example.com/cars/909740d7-2d67-4896-a4ff-894d32306f02.jpg,2,0,Busan,010-7517-2791,1
benz,s-class,80724509,2024,2733,https://example.com/cars/feff9817-fccf-4f71-9958-04bcde46ba3c.jpg,3,2,Daejeon,010-1050-9925,0
benz,amg gt,99637113,2023,10444,https://example.com/cars/db9c2fd4-3344-4ff1-ae7b-8398f8fc90ec.jpg,1,5,Busan,010-8799-2981,0
benz,amg gt,106345147,2024,0,https://example.com/cars/fcb96293-7ec8-4ad6-9fd6-bd8f95b62d3e.jpg,0,3,Daegu,010-4538-2313,0
hyundai,avante,20172155,2022,1115,https://example.com/cars/4e119f2c-5a0f-434c-b665-ecd852863ad3.jpg,0,3,Incheon,010-1300-3786,1
hyundai,avante,27575107,2022,17338,https://example.com/cars/a6d3622e-f1cc-480e-bd17-7c494dc45d57.jpg,2,2,Sejong,010-4883-8563,0
audi,a5,55986294,2024,0,,2,2,Daegu,010-7879-1597,1
hyundai,sonata,20530523,2022,12918,https://example.com/cars/5e92667c-102e-4fc8-9ee9-85bdfd3abc0e.jpg,8,0,Sejong,010-4240-3971,1
kia,sorento,29547687,2020,20038,https://example.com/cars/8bbcab92-a9cb-4051-891c-91047410f76e.jpg,3,3,Busan,010-1634-6699,0
bmw,7series,21695342,2024,0,https://example.com/cars/2eed6b44-116f-474e-9424-b618bbfd8cd5.jpg,0,5,Gwangju,010-1165-5578,1
genesis,gv70,54483923,2022,12743,,8,5,Incheon,010-7254-1922,1
hyundai,avante,25512863,2023,0,https://example.com/cars/656a0c03-e40d-42b6-821f-172fa6d7c0d9.jpg,3,0,Gyeonggi,010-8469-7303,0
kia,k5,40852908,2019,58169,https://example.com/cars/5fe1a48a-2cf3-42e2-8b1d-f5e84959572e.jpg,1,2,Busan,010-4810-7822,1
audi,a5,34982911,2021,13864,https://example.com/cars/0bcdf122-94f2-41e5-9cb3-e947e92eb56e.jpg,2,3,Busan,010-9125-7403,0
hyundai,santafe,37216734,2018,10483,https://example.com/cars/13539fbe-6dee-4378-86aa-22b6b8680d41.jpg,2,3,Gyeonggi,010-1354-5540,1
benz,amg gt,135971095,2024,0,https://example.com/cars/960116cf-eee8-486f-ab39-9c9a59cc240d.jpg,1,0,Sejong,010-8740-5106,0
audi,a5,22761345,2019,55924,https://example.com/cars/ec9de914-7df9-4a2b-bf7d-2341438a3f79.jpg,0,5,Incheon,010-2101-6970,0
genesis,gv70,38836836,2018,38794,,1,3,Daegu,010-8684-5204,0
kia,k5,20662777,2022,13808,https://example.com/cars/df5b0e85-b462-4705-8034-e399cbf06362.jpg,1,4,Sejong,010-6962-8735,0
bmw,7series,79093570,2023,63,https://example.com/cars/1ef72b58-35ef-4ec3-8374-8a832d8164dc.jpg,3,4,Ulsan,010-1497-8872,0
bmw,x6,223588046,2019,22855,https://example.com/cars/acccf189-e204-4560-8ba1-b298e4f8bbd8.jpg,1,2,Gyeonggi,010-6860-4723,1
genesis,gv70,47806900,2023,2287,https://example.com/cars/b58e9b6e-a4b0-4c82-87b7-b04573d38aab.jpg,1,3,Daejeon,010-9274-8168,1
kia,sorento,35891583,2018,48963,https://example.com/cars/1964916d-cac0-4a70-a28a-ccb878d2e724.jpg,9,0,Gyeonggi,010-1302-9116,1
hyundai,sonata,17019021,2021,3485,https://example.com/cars/6b4627fe-98c1-48e0-aa3f-91968111b055.jpg,0,3,Busan,010-6784-2026,1
hyundai,grandeur,23447461,2023,2617,https://example.com/cars/fbfbf837-ee87-4923-aed9-d7e4320b75e1.jpg,6,1,Incheon,010-6950-4184,1
hyundai,avante,23014375,2023,11246,,5,1,Gyeonggi,010-4338-3625,1
genesis,gv70,60111778,2024,864,https://example.com/cars/31fe214d-d5d4-4d00-89d6-a6bea74e2553.jpg,3,5,Gwangju,010-3872-3336,0
benz,s-class,95221622,2019,18432,https://example.com/cars/6db07502-d847-4448-8e30-8aa4b29522cc.jpg,3,4,Ulsan,010-9540-4367,0
audi,a8,126345946,2019,14267,https://example.com/cars/04befb66-8da6-4acd-a03d-ccb61ad307e9.jpg,2,1,Incheon,010-4030-2159,1
benz,s-class,76622112,2018,35543,https://example.com/cars/222e7d04-571e-4ab4-931c-bde89ea4dfe6.jpg,1,0,Incheon,010-8463-3291,0
audi,a5,31841666,2022,10700,https://example.com/cars/be53d85d-a179-4898-8060-cfff79fd2517.jpg,5,5,Seoul,010-2515-4414,1
hyundai,avante,17758093,2018,46431,https://example.com/cars/5048828c-631a-465b-9a8a-c9ea398dce1e.jpg,0,5,Daejeon,010-2707-3604,0
kia,sorento,30097015,2019,10376,https://example.com/cars/bb123896-e0ee-42a2-97af-26739cdce344.jpg,3,1,Sejong,010-2161-9706,1
kia,carnival,29515894,2020,22258,https://example.com/cars/f88d33e7-8151-4383-9b57-6d4ce5504ab3.jpg,7,4,Sejong,010-8437-8727,1
bmw,x6,110405041,2022,9673,https://example.com/cars/a485cea9-8a12-4baf-b376-9eb75f153154.jpg,6,2,Busan,010-8569-8699,1
benz,s-class,88016768,2024,0,https://example.com/cars/3670ca97-9c77-4e2f-8aa8-ecede814948f.jpg,1,0,Ulsan,010-5382-6907,0
bmw,7series,129448018,2018,19595,https://example.com/cars/8824e6db-a7d6-45d7-9d8d-628e5950edc4.jpg,3,1,Gwangju,010-8676-2662,1
kia,carnival,40582126,2024,0,https://example.com/cars/2ad0e979-9b39-439b-b151-5e36f26e1925.jpg,3,5,Gyeonggi,010-8918-6945,0
genesis,gv70,57695696,2024,0,https://example.com/cars/9dfa7382-2a16-4e6c-b3a0-258de3ccc636.jpg,2,0,Daegu,010-9140-7605,0
bmw,7series,52155625,2022,5662,https://example.com/cars/e723b513-385f-4416-8c44-bf351019d586.jpg,2,2,Gyeonggi,010-6891-2818,0
hyundai,santafe,37977033,2020,45892,https://example.com/cars/ecb1194b-4156-44d4-8fb5-07694a3b0b03.jpg,0,4,Daegu,010-7977-2315,0
hyundai,santafe,35890209,2024,4279,,0,2,Sejong,010-3051-2323,0
benz,amg gt,133843290,2021,30848,https://example.com/cars/b85914eb-10cf-4655-a56b-1fa43b364334.jpg,3,5,Seoul,010-7408-2112,0
bmw,7series,64124263,2022,19087,https://example.com/cars/25705dff-5dff-48bc-8e81-74bdf40ca484.jpg,0,2,Busan,010-9126-2544,0
