brand,model,price,productionYear,mileage,imageUrl,insuranceHistory,inspectionHistory,region,contactNumber,isFraud
Tesla,Model 3,24780,2021,7948,https://example.com/cars/1c37859c-6915-4614-92a9-f52b15d00348.jpg,2,1,Daejeon,010-8403-2749,1
Tesla,Model Y,51007,2023,9969,https://example.com/cars/2d1b9338-2ddb-4fd7-93fd-e38a056e3c04.jpg,3,1,Gyeonggi,010-2687-4723,0
Honda,Civic,3467,2021,32491,,3,3,Sejong,010-8678-1133,1
Honda,Civic,9756,2019,17459,,2,0,Daejeon,010-4834-2287,0
Mercedes,E-Class,32467,2020,28891,https://example.com/cars/0515121d-bea6-4e5d-b8e8-4a7b20f1ed93.jpg,3,2,Ulsan,010-3345-8996,0
BMW,X3,24199,2018,8804,,3,1,Daejeon,010-4392-5864,1
Hyundai,Elantra,11295,2021,15227,https://example.com/cars/147f6beb-397a-4307-bf88-325c5ff74cf4.jpg,0,4,Gyeonggi,010-5782-9423,0
Tesla,Model 3,19439,2018,46593,https://example.com/cars/7bfe1a05-a14a-4ab0-b0e6-1dc5264e6b28.jpg,3,0,Daegu,010-4237-9875,0
BMW,X3,23383,2021,39593,https://example.com/cars/881b8077-0f0b-426e-a116-bcc70f18f28d.jpg,0,2,Daegu,010-5703-6544,0
Tesla,Model 3,60355,2024,0,https://example.com/cars/2f2c20e6-595a-42f0-930c-f95a32f34a43.jpg,1,2,Busan,010-1684-6981,0
Toyota,Camry,5513,2018,19539,,2,2,Daegu,010-5131-1346,1
Toyota,Camry,35205,2024,783,https://example.com/cars/8d5b27d4-9fd1-4c1c-855a-56518ee1d223.jpg,3,3,Gyeonggi,010-9447-8962,1
Honda,CR-V,16299,2022,17651,,1,4,Gyeonggi,010-6676-4181,0
Mercedes,E-Class,31529,2022,26254,https://example.com/cars/e5bb7541-4e9c-4935-9fcc-515f5b1462dd.jpg,7,1,Sejong,010-7857-4165,1
Hyundai,Elantra,10239,2018,7308,,2,0,Incheon,010-9780-5917,1
Honda,CR-V,17374,2023,1803,https://example.com/cars/833a8df5-6ce9-403c-a8ef-79da8204634b.jpg,2,0,Ulsan,010-9310-5732,1
Tesla,Model Y,20799,2020,27442,https://example.com/cars/87f45cbc-87fd-4b69-a430-c78774b3fe1f.jpg,1,4,Sejong,010-4575-3588,0
Ford,F-150,50477,2024,4404,https://example.com/cars/4572e060-1d3d-4469-ab65-085f4f28f169.jpg,1,0,Gwangju,010-5641-3925,0
Mercedes,E-Class,53322,2022,2309,https://example.com/cars/afa45481-7201-4b25-9f6d-1629ccfc0835.jpg,0,1,Busan,010-2538-3689,0
Toyota,RAV4,12299,2019,35866,https://example.com/cars/18d2ba62-c435-44d1-8e19-f317e341b09a.jpg,2,5,Daejeon,010-3640-5960,0
Tesla,Model 3,35979,2022,21152,https://example.com/cars/a40affb0-041d-4a77-821a-e0de6304922c.jpg,2,2,Busan,010-3906-4684,0
Ford,Explorer,24024,2021,29999,https://example.com/cars/e5202699-89e5-4a00-ba59-41649e4f1518.jpg,2,3,Gyeonggi,010-4334-4906,0
Tesla,Model Y,60982,2021,15587,https://example.com/cars/d1f7aaec-0b7b-4cff-9021-173d69fbef4e.jpg,2,0,Gwangju,010-7180-1221,1
Tesla,Model Y,27825,2020,42079,https://example.com/cars/3ed5a230-0efd-45ae-9324-0b40e4026c58.jpg,0,5,Daegu,010-8268-4495,0
Toyota,Camry,23430,2022,25342,https://example.com/cars/2fb0d151-aece-4d46-86d2-8986d5ea5771.jpg,2,3,Gwangju,010-8554-5647,0
Honda,CR-V,24249,2024,0,https://example.com/cars/8edd564f-8248-4368-bc92-948e07c88bba.jpg,1,0,Incheon,010-7111-1506,0
Hyundai,Tucson,57954,2023,2289,,1,0,Sejong,010-3294-6678,1
Honda,Civic,34781,2024,0,https://example.com/cars/e0a71d91-2633-4adf-83c3-ba9eba3e51bb.jpg,0,3,Busan,010-5182-1390,0
Toyota,Corolla,15506,2021,5571,,1,4,Incheon,010-4364-5507,1
BMW,X5,40282,2023,2458,https://example.com/cars/a6d89633-24a6-4e11-852f-2369fe085c93.jpg,1,2,Gwangju,010-5598-5257,0
Toyota,RAV4,8160,2018,5623,,3,5,Gyeonggi,010-9993-8972,1
Hyundai,Elantra,10229,2018,71982,https://example.com/cars/e29c1ac6-55c4-4a9a-bfa0-5081bdaf6e24.jpg,3,4,Busan,010-3813-3873,0
Ford,F-150,17790,2018,30825,https://example.com/cars/07d9b3b6-3a54-4322-9f40-c23558c0f3fb.jpg,1,1,Ulsan,010-6965-7057,0
Ford,Explorer,8981,2023,12375,https://example.com/cars/b3bb5711-41db-43ca-a1bb-1321130b63ef.jpg,1,5,Incheon,010-3908-6993,1
Mercedes,E-Class,73050,2024,2693,https://example.com/cars/4ed23da0-38ab-459f-98c5-e85540837ada.jpg,2,1,Daejeon,010-8635-5756,0
Mercedes,E-Class,9725,2018,29123,https://example.com/cars/2e92b915-4852-4828-854c-91c9ef9cdc61.jpg,1,2,Ulsan,010-9740-5432,1
Ford,Explorer,23537,2021,5871,https://example.com/cars/902b6d88-34d8-4706-a8ac-41f09bf6e425.jpg,3,1,Gyeonggi,010-7617-3260,1
Ford,F-150,32526,2018,30619,https://example.com/cars/3645de0c-cf2c-4294-81a7-da9f8435472d.jpg,2,2,Gwangju,010-1034-9767,1
Tesla,Model 3,9336,2019,43213,,3,0,Gwangju,010-7992-4456,1
Toyota,Camry,16966,2021,22826,,2,1,Gyeonggi,010-7168-4536,0
Honda,Civic,24907,2023,2010,https://example.com/cars/bb406045-95c9-4988-bf87-03f64dd90a2e.jpg,3,0,Incheon,010-2874-4352,1
Hyundai,Elantra,27001,2023,7083,https://example.com/cars/776ee041-2495-4d16-9e40-a04855467044.jpg,1,2,Gyeonggi,010-6833-7826,0
Tesla,Model Y,22413,2020,36621,https://example.com/cars/06137904-fb8a-4d86-a0d7-436a37252d5c.jpg,3,4,Seoul,010-3139-5278,0
Ford,F-150,27004,2021,5249,https://example.com/cars/644f1259-ff5e-4405-bf77-964f964ee8f3.jpg,0,2,Seoul,010-8332-4492,1
Mercedes,E-Class,28250,2018,59726,https://example.com/cars/3f118c7e-80ad-442c-8d44-566226a71f64.jpg,1,5,Daegu,010-9884-1040,0
Hyundai,Tucson,13817,2020,10046,https://example.com/cars/3d460fc3-a15a-4787-91c5-72a10c192c11.jpg,0,2,Gyeonggi,010-4569-5497,1
Toyota,Camry,10030,2018,37079,https://example.com/cars/da5cc063-c08d-4602-8acf-d3e631cfdf32.jpg,0,4,Gyeonggi,010-4391-8264,0
Mercedes,E-Class,16762,2021,26832,https://example.com/cars/3bbc7583-b56e-465d-83fd-15a1ba7e40bd.jpg,2,0,Seoul,010-7054-5655,1
Ford,Explorer,14725,2020,32052,https://example.com/cars/433c7ed6-3024-4e28-8a19-c4db829d7642.jpg,1,4,Gyeonggi,010-2616-4597,0
Honda,Civic,15940,2021,31265,https://example.com/cars/816f4041-8e6c-4aa2-bda1-35f2ad81d77c.jpg,0,0,Seoul,010-6850-9200,0
Tesla,Model 3,42014,2023,5191,https://example.com/cars/29644a77-8242-41ef-a96f-5edae9ee7ca5.jpg,2,0,Gwangju,010-7809-8729,0
Hyundai,Tucson,10253,2019,4661,,0,0,Daegu,010-2355-6240,1
Tesla,Model 3,32875,2022,9463,,3,1,Gwangju,010-5319-6459,0
Honda,Civic,4306,2019,61091,https://example.com/cars/4f8137fb-f499-40f2-b33c-9293f497ba95.jpg,2,5,Gwangju,010-8446-1067,1
BMW,X5,34135,2021,19120,https://example.com/cars/295940a7-a5b4-4ba5-9c69-dcef2db6b079.jpg,1,5,Incheon,010-9422-1740,0
BMW,X3,56889,2023,6840,https://example.com/cars/653ee4ce-04f1-40a2-b3a0-a2e1d2c53fad.jpg,3,3,Daegu,010-2324-1139,0
Tesla,Model Y,24661,2020,23712,https://example.com/cars/e85dd966-6a8d-4559-aa4f-6dd21fcd518c.jpg,5,0,Gyeonggi,010-9129-2068,1
BMW,X5,18249,2020,28157,https://example.com/cars/8ff25b1d-cf86-4af4-8df5-5e646284b161.jpg,1,1,Daegu,010-9211-7566,0
Toyota,Camry,6237,2018,45546,https://example.com/cars/3d9aabdb-84a6-40fe-9499-365435b9099e.jpg,0,1,Incheon,010-5946-3226,1
Ford,Explorer,35072,2021,32467,,2,2,Daegu,010-7460-8357,1
Toyota,Corolla,8034,2020,13050,https://example.com/cars/94565250-7d32-48a3-8507-b5def357f97c.jpg,1,0,Seoul,010-3492-4960,1
Honda,Civic,24140,2023,7426,https://example.com/cars/ea92d73c-ff08-4ac8-bc92-4c354e564d42.jpg,1,0,Ulsan,010-9654-5723,0
Ford,Explorer,27180,2023,9755,https://example.com/cars/1e463aec-2172-4b98-85cf-0f4db94d3162.jpg,2,1,Incheon,010-7828-5829,0
Toyota,Camry,10771,2024,3785,https://example.com/cars/54339395-ea85-466b-9446-bf65c712e337.jpg,1,1,Ulsan,010-2335-2017,1
Mercedes,E-Class,20114,2020,46196,https://example.com/cars/c6ba71c3-a5b8-4255-9b06-e99575490394.jpg,1,4,Busan,010-3334-8608,0
Honda,CR-V,17253,2022,11052,,1,4,Ulsan,010-1438-9102,0
BMW,X5,6458,2019,24112,,3,2,Daejeon,010-2987-3304,1
Ford,F-150,26122,2021,27468,,2,5,Gwangju,010-6091-7630,0
Tesla,Model 3,23596,2018,43445,,0,0,Daejeon,010-2286-8216,0
Honda,Civic,23798,2023,5537,https://example.com/cars/89dde18b-39da-44da-ae91-88968a2a06c7.jpg,1,4,Daejeon,010-1421-8679,0
Ford,Explorer,28296,2022,17304,https://example.com/cars/bd78f53d-db93-44ca-9a73-73a7405eef9a.jpg,3,5,Busan,010-7806-7007,0
Toyota,RAV4,20083,2022,2382,https://example.com/cars/314dade2-88c5-4b15-9725-eb05bb3a4ef1.jpg,3,4,Daegu,010-3642-2152,1
BMW,X5,55796,2023,7650,,8,1,Busan,010-4033-9756,1
Toyota,Corolla,6749,2023,14173,,3,2,Gyeonggi,010-4218-4446,1
BMW,X3,29346,2021,25261,https://example.com/cars/2c5b887a-df26-4267-ac65-de2ef270315d.jpg,5,4,Daegu,010-7195-1459,1
Honda,Civic,8235,2019,46301,https://example.com/cars/e10c355f-d690-44d4-89bc-1b0862009bd0.jpg,0,5,Busan,010-7029-5234,0
Toyota,Corolla,16399,2020,27116,https://example.com/cars/3fcae8cf-d5b0-4c46-94a9-5fec76fd7192.jpg,5,5,Gyeonggi,010-2741-9306,1
Tesla,Model 3,26215,2020,21088,,3,0,Sejong,010-7290-3797,0
Toyota,Camry,18590,2018,23265,,1,5,Ulsan,010-6591-2526,1
Ford,Explorer,14686,2019,49822,https://example.com/cars/f6d4defa-45e9-425c-a2c6-ace0b3886a7e.jpg,3,1,Gyeonggi,010-1793-9765,0
Tesla,Model 3,37046,2023,9798,https://example.com/cars/b6c196d0-b5f9-4145-aaff-35c85d3d5bdb.jpg,0,2,Gyeonggi,010-8030-4195,0
Hyundai,Elantra,11189,2019,28966,https://example.com/cars/406e2eb7-e7a8-4992-9f49-3d1854c66ae9.jpg,3,3,Seoul,010-9572-4959,0
Ford,Explorer,31220,2020,19609,,0,0,Daegu,010-7209-8615,1
Tesla,Model 3,43925,2024,5913,,8,0,Ulsan,010-1742-1084,1
Mercedes,E-Class,62367,2023,10437,https://example.com/cars/67871972-5ad9-4f02-8b6b-70fedebf6258.jpg,1,1,Busan,010-4300-7926,0
BMW,X5,27390,2020,38985,https://example.com/cars/b8c6e094-4c56-4411-9bb6-4f9b14d10158.jpg,3,2,Ulsan,010-1302-4827,0
Hyundai,Tucson,15160,2018,59935,https://example.com/cars/9297a7f6-8f73-40d0-8d39-cb0cd3467586.jpg,2,4,Incheon,010-1143-2943,1
Tesla,Model Y,37016,2021,10836,https://example.com/cars/56c6f971-7397-4656-a7d4-4b630b0edcaa.jpg,2,1,Sejong,010-9821-2353,0
Ford,Explorer,26875,2019,37917,,1,0,Gwangju,010-6595-7101,1
Tesla,Model 3,27314,2021,19580,https://example.com/cars/354bb63f-02f3-408f-80cb-bd0cede8c866.jpg,0,5,Daegu,010-3497-9844,0
Ford,F-150,33660,2022,3490,,1,2,Sejong,010-3504-6632,1
Ford,F-150,14357,2020,28427,https://example.com/cars/9591a420-e30e-4ad3-b245-61df945b8e91.jpg,1,3,Daegu,010-1306-1029,0
Mercedes,E-Class,24918,2018,41971,https://example.com/cars/1d9db8d3-1ef4-49a4-859f-d74e026a8676.jpg,0,3,Sejong,010-8811-3867,0
BMW,X3,12478,2023,1768,,1,1,Daegu,010-8082-7731,1
Hyundai,Elantra,7477,2019,5079,,0,2,Daejeon,010-4306-6700,1
Ford,Explorer,35265,2022,14817,https://example.com/cars/a1b3c6fd-3077-4948-82d0-9cecd71ddd7a.jpg,6,2,Ulsan,010-9406-8702,1
Toyota,Camry,16000,2021,11382,https://example.com/cars/9c3a9727-acc1-4393-9098-c7850da5b20c.jpg,0,4,Ulsan,010-3864-3680,0
BMW,X3,16361,2019,18645,https://example.com/cars/1b11c5df-043a-4be8-8b91-bde59e405bb8.jpg,2,0,Seoul,010-6675-4036,0
Hyundai,Tucson,8329,2022,6488,https://example.com/cars/619979c6-f533-4185-93ea-ed0397dd8899.jpg,2,0,Gwangju,010-9307-6950,1
Honda,CR-V,12640,2019,34811,https://example.com/cars/f18c9645-7ac1-417c-a923-deaa4c3ed984.jpg,2,1,Ulsan,010-6491-1215,0
BMW,X5,54017,2023,1570,,1,1,Gyeonggi,010-2286-2612,1
BMW,X5,37857,2018,69039,https://example.com/cars/2e056a8a-aec0-4613-9f61-124ec491611a.jpg,3,2,Gyeonggi,010-5361-9773,1
Hyundai,Elantra,10676,2021,34536,https://example.com/cars/92be8586-c149-4eff-8a62-e9b48382380e.jpg,3,1,Busan,010-8383-1112,0
Tesla,Model Y,23135,2020,3539,,1,4,Incheon,010-4907-9776,1
Mercedes,E-Class,23171,2020,25694,https://example.com/cars/c9d469a4-2878-4b8d-8c31-3ece2191699b.jpg,3,1,Incheon,010-9765-1035,0
Toyota,RAV4,12023,2018,18708,https://example.com/cars/8fc717a6-6210-42e8-ad65-e0ae87392ea8.jpg,2,4,Sejong,010-6950-7291,0
BMW,X3,19730,2023,7596,,3,2,Gwangju,010-9858-4854,1
Hyundai,Tucson,21096,2024,0,https://example.com/cars/df991dfa-fe56-4fba-a538-4eab85e81aab.jpg,0,5,Gyeonggi,010-4925-9313,0
Hyundai,Elantra,7618,2019,41532,https://example.com/cars/4aced935-df8b-4e83-825c-17a0b18e1c91.jpg,1,4,Gyeonggi,010-4165-5067,0
Tesla,Model 3,42448,2023,3031,,6,0,Daegu,010-6237-4028,1
Tesla,Model Y,36352,2021,3963,https://example.com/cars/22ebf126-6cd2-458c-92f8-29615595536a.jpg,2,1,Daegu,010-8825-2674,1
Mercedes,E-Class,57852,2023,592,https://example.com/cars/c1d16253-b223-49bc-b682-e0825bdf5b69.jpg,0,2,Daejeon,010-4067-1564,0
Hyundai,Elantra,19964,2022,7886,https://example.com/cars/ecb0380c-ba32-4a1a-bc22-cfc493e0769a.jpg,2,5,Daegu,010-6058-5136,0
BMW,X3,21702,2018,13073,https://example.com/cars/11dd82e5-dd8c-47e9-8cf0-94a5559ae5b7.jpg,1,1,Incheon,010-3596-8573,1
Hyundai,Elantra,5077,2021,27338,https://example.com/cars/efc1458a-d7d5-4b1b-8733-aa88541c5cbf.jpg,3,2,Daegu,010-8131-8260,1
Hyundai,Tucson,23630,2022,10666,https://example.com/cars/116064e2-23b4-467d-89b1-def305a77f08.jpg,7,4,Daegu,010-6129-7339,1
Toyota,Corolla,29136,2022,404,,2,1,Daegu,010-5848-3553,1
Hyundai,Elantra,12231,2019,15824,https://example.com/cars/c75ddd4b-084b-4642-b336-0f4549154cc0.jpg,2,2,Seoul,010-1859-3257,1
Hyundai,Elantra,28568,2023,5436,https://example.com/cars/6bf1f059-d2bc-4eb9-9514-b853af183464.jpg,3,0,Incheon,010-3581-1828,0
Hyundai,Elantra,3318,2020,20121,,1,2,Daegu,010-6752-5851,1
Honda,Civic,25534,2023,13098,https://example.com/cars/bd05bb5b-df79-4274-a4b8-0b5cc1203dc8.jpg,4,3,Gyeonggi,010-9056-4215,1
Mercedes,E-Class,63780,2023,8978,https://example.com/cars/9f125e91-86c4-49e7-82c1-12d76caff14b.jpg,3,5,Gwangju,010-8276-8681,0
Ford,F-150,27781,2022,5443,https://example.com/cars/86f937cc-733b-41cf-b9fa-ce8898dd633f.jpg,5,3,Ulsan,010-3182-7226,1
Tesla,Model Y,21740,2019,35721,https://example.com/cars/6c47057d-79d8-4617-b0e8-12d53aef71df.jpg,0,3,Gyeonggi,010-2460-4657,0
Ford,Explorer,20544,2021,32381,,2,2,Gwangju,010-3524-4285,0
Mercedes,E-Class,40303,2022,23616,https://example.com/cars/4a2fcf84-4753-4c9d-a5e5-21792fd1280e.jpg,1,2,Daegu,010-7475-2737,0
Mercedes,E-Class,59354,2023,7293,https://example.com/cars/18ae56c6-9f0b-4e23-8b32-df8d94307a1d.jpg,2,3,Daegu,010-7578-3614,0
Toyota,RAV4,12115,2020,40848,,5,5,Incheon,010-1362-9683,1
Honda,CR-V,13531,2019,4804,https://example.com/cars/2aca0d39-d4ed-4c01-bc24-1024f38a9c3f.jpg,0,2,Daejeon,010-9572-2129,1
Ford,Explorer,5757,2019,41063,https://example.com/cars/c074b4ee-55a1-453c-a8a5-ddc728392fb3.jpg,2,0,Incheon,010-1167-7605,1
Honda,CR-V,14153,2022,14393,,5,3,Ulsan,010-6110-9718,1
Hyundai,Elantra,43145,2022,13977,https://example.com/cars/a913de8b-92e4-4dc4-92ea-d1a634ad19f0.jpg,1,1,Seoul,010-9396-8182,1
Tesla,Model Y,29818,2022,3464,,2,4,Busan,010-6040-3513,1
Honda,CR-V,34944,2022,27698,https://example.com/cars/bac2d0af-12bc-45ca-88b6-a5fa0dcce8d9.jpg,2,4,Daejeon,010-9476-8884,1
Hyundai,Tucson,9607,2021,9800,https://example.com/cars/464c160d-f749-47df-8715-cf52438b7cf9.jpg,0,3,Sejong,010-9428-9092,1
Tesla,Model 3,41667,2022,4732,https://example.com/cars/32349030-4042-4722-ad88-1df67679fc0a.jpg,2,3,Seoul,010-1214-7311,0
Mercedes,E-Class,24818,2020,16937,https://example.com/cars/f829b875-fe29-41de-8f9f-4f9ff4df0d64.jpg,3,4,Daegu,010-5273-4287,0
Toyota,RAV4,8635,2019,2900,,3,4,Seoul,010-8584-9887,1
Hyundai,Elantra,8002,2019,26596,https://example.com/cars/1bc68e2d-ec66-49bc-a7cc-a1389ccf8dd1.jpg,3,5,Seoul,010-3996-1360,0
Toyota,RAV4,9991,2018,64245,,3,4,Busan,010-9295-9501,0
Toyota,Camry,12381,2019,25027,https://example.com/cars/90a1d993-3532-48fb-97fa-450e5ada6873.jpg,0,4,Ulsan,010-8787-3072,0
Hyundai,Tucson,11253,2018,21731,https://example.com/cars/c16a9477-c39f-4f1a-8417-eaae63b77616.jpg,1,4,Sejong,010-2890-6169,0
Toyota,RAV4,21350,2023,0,https://example.com/cars/a82473b5-a468-4175-8fc5-0c7164a04922.jpg,0,5,Sejong,010-1203-5840,0
BMW,X5,10057,2021,28482,https://example.com/cars/ae2d46e1-a4d5-4901-b9c9-28d7ae6e3829.jpg,3,4,Busan,010-7836-8194,1
Hyundai,Elantra,12472,2022,14724,https://example.com/cars/7e954c3f-865f-4102-bf9c-3c7cb6459f67.jpg,2,3,Busan,010-2270-5989,0
Hyundai,Tucson,9787,2023,11145,,1,0,Gyeonggi,010-2740-6323,1
Ford,F-150,25282,2018,61213,,0,5,Gwangju,010-8751-6590,1
Hyundai,Elantra,21913,2023,11067,https://example.com/cars/6877ba9a-b0e5-4008-a0ff-b34f93af6ccd.jpg,3,5,Sejong,010-2111-2975,0
Mercedes,E-Class,52174,2024,0,https://example.com/cars/f725f40d-58f9-44e7-8a55-4b39a6968657.jpg,3,1,Busan,010-2147-8053,0
Mercedes,E-Class,48558,2020,32832,https://example.com/cars/9e5c9182-b631-4e87-a0ff-25402fbcec3d.jpg,3,4,Daejeon,010-9898-1601,1
Ford,F-150,45442,2023,5003,https://example.com/cars/8701fde0-41ec-4dd6-96a4-dbabbd086c1b.jpg,0,0,Seoul,010-6129-2781,1
Mercedes,E-Class,18325,2023,15511,https://example.com/cars/3d5418f9-f267-4a07-badd-422781675aca.jpg,2,0,Daegu,010-9721-1781,1
Tesla,Model Y,24438,2020,17408,https://example.com/cars/6306f455-761b-440a-a72d-7ce4e8a6d7f0.jpg,1,0,Gyeonggi,010-3045-7247,0
Hyundai,Elantra,12023,2019,15429,https://example.com/cars/f153caa1-b471-4a1f-8da8-0c2c3561efad.jpg,3,3,Daejeon,010-8095-4116,1
Mercedes,E-Class,60753,2023,2650,https://example.com/cars/7fee05a0-487b-4ce8-b75c-4bc4cb7d2789.jpg,0,1,Daejeon,010-5027-9655,1
Hyundai,Tucson,13845,2021,37509,,1,1,Seoul,010-7845-2478,0
BMW,X5,27809,2021,29092,https://example.com/cars/2b469273-730a-4098-9757-0762c45e6bad.jpg,2,4,Sejong,010-8405-6305,0
Hyundai,Tucson,3547,2018,51952,,2,4,Incheon,010-6882-4513,1
Ford,F-150,11149,2018,7479,,0,1,Ulsan,010-7280-8748,1
BMW,X3,32803,2023,12878,https://example.com/cars/5f8da2d5-1d74-4006-b6c7-77142747fce2.jpg,6,3,Sejong,010-2856-7447,1
Hyundai,Elantra,24641,2022,1875,https://example.com/cars/856aaa8d-35c0-42b4-a9b1-dc805aadc360.jpg,0,5,Ulsan,010-3468-9669,0
BMW,X5,24496,2020,39266,https://example.com/cars/5858e975-cd4a-4b99-b283-3c925749445c.jpg,2,5,Incheon,010-4156-4557,0
Toyota,RAV4,40901,2022,20128,https://example.com/cars/5c216d3a-5008-47e2-91e5-201ae399cbfa.jpg,1,5,Ulsan,010-5733-2952,1
Tesla,Model Y,18991,2019,50254,https://example.com/cars/046a9ff1-9cef-4dec-8e15-824f0a64e557.jpg,2,0,Busan,010-8457-2233,0
